"","DAY","MONTH","YEAR","HOUR","MINUTE","Date","Time","LATITUDE.x","LONGITUDE.x","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","I_D","FLAG_TSUNAMI","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE.y","LONGITUDE.y","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION","diffLat","diffLong"
"33","1","5","1994","12","0","5/1/1994","12:00:36",36.901,67.163,"Earthquake",18.5,NA,NA,6.1,"MWB",NA,NA,NA,NA,NA,1.1,"USP0006BVU","US","US","US","Reviewed",5384,"",35.7,19,6.1,6.1,6.3,6,NA,NA,NA,6,"AFGHANISTAN","","AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ",36.901,67.163,40,160,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,3,NA,NA,NA,NA,NA,NA,0,0
"34","1","5","2003","0","27","5/1/2003","0:27:05",39.007,40.464,"Earthquake",10,NA,504,6.4,"MWB",NA,NA,30.9,NA,NA,1.09,"USP000BWBC","US","US","US","Reviewed",5692,"",4.7,10,6.4,6.4,6.4,5.7,NA,NA,NA,NA,"TURKEY","","TURKEY:  BINGOL",39.007,40.464,140,177,3,NA,NA,521,3,NA,3,718,3,718,3,177,3,NA,NA,521,3,NA,3,718,3,2593,4,0,0
"35","1","5","2013","6","57","5/1/2013","6:57:13",33.061,75.863,"Earthquake",15,NA,137,5.7,"MWW",NA,NA,25,NA,NA,1.11,"USB000GJHZ","US","US","US","Reviewed",9991,"",13.4,15,5.7,5.7,5.6,5.6,NA,NA,NA,NA,"INDIA","","INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN",33.061,75.863,60,3,1,NA,NA,90,2,19.5,3,1136,4,95532,4,3,1,NA,NA,90,2,19.5,3,1136,4,95532,4,0,0
"36","1","6","2013","14","10","6/1/2013","14:10:07",7.275,124.898,"Earthquake",10,NA,82,5.6,"MWW",NA,NA,36.1,NA,NA,0.96,"USB000HBDE","US","US","US","Reviewed",10003,"",6.7,10,5.7,5.7,5.6,5.7,NA,NA,NA,NA,"PHILIPPINES","","PHILIPPINES:  N. COTABATO:  KIMADZIL, KIBUGTONGAN",7.275,124.898,170,NA,NA,NA,NA,33,1,NA,1,NA,NA,164,3,NA,NA,NA,NA,33,1,NA,1,NA,NA,164,3,0,0
"37","1","7","1974","16","51","7/1/1974","16:51:52",-22.135,-64.735,"Earthquake",13,NA,NA,5.9,"MS",NA,NA,NA,NA,NA,NA,"USP00006Z6","US","US","US","Reviewed",4661,"",54,18,5.9,NA,5.9,5.5,NA,NA,NA,NA,"ARGENTINA","","ARGENTINA:  LOS TOLDOS",-22.124,-64.638,160,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-0.0110000000000028,-0.0969999999999942
"38","1","7","1979","20","38","7/1/1979","20:38:04",8.316,-82.943,"Earthquake",28,NA,NA,6.5,"MS",NA,NA,NA,NA,NA,NA,"USP00011NK","US","US","US","Reviewed",4838,"",4,28,6.5,NA,6.5,5.5,NA,NA,NA,NA,"PANAMA","","PANAMA-COSTA RICA:  PUERTO ARMUELLES",8.316,-82.943,100,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,0
"39","1","7","2000","7","1","7/1/2000","7:01:56",34.221,139.131,"Earthquake",10,NA,355,6.1,"MWC",NA,NA,NA,NA,NA,1.04,"USP0009VHB","US","US","HRV","Reviewed",5568,"Tsu",55.5,10,6.1,6.1,6.1,6,NA,NA,NA,NA,"JAPAN","","JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA",34.221,139.131,30,1,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,0,0
"40","1","8","1968","20","19","8/1/1968","20:19:22",16.316,122.067,"Earthquake",25,NA,NA,7.6,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM817557","ISCGEM","ISCGEM","ISCGEM","Automatic",4448,"Tsu",21.9,36,7.3,NA,7.3,NA,NA,NA,NA,NA,"PHILIPPINES","","PHILIPPINES:  LUZON:  MANILA",16.5,122.2,170,270,3,NA,NA,261,3,8,3,NA,1,NA,3,270,3,NA,NA,261,3,8,3,NA,1,NA,3,-0.184000000000001,-0.13300000000001
"41","1","8","1975","20","20","8/1/1975","20:20:13",39.439,-121.528,"Earthquake",15,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,NA,"USP0000C95","US","B","1000","Reviewed",4696,"",12.9,15,5.6,NA,5.6,5.8,5.7,NA,NA,8,"USA","CA","CALIFORNIA:  OROVILLE",39.439,-121.528,150,NA,NA,NA,NA,10,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,10,1,3,2,NA,NA,NA,NA,0,0
"42","1","8","1975","20","20","8/1/1975","20:20:05",39.4321667,-121.5458333,"Earthquake",4.388,1.45,27,5.7,"ML",NA,0,116,0.127,0.35,0.07,"NC1024998","NC","NC","NC","Reviewed",4696,"",12.9,15,5.6,NA,5.6,5.8,5.7,NA,NA,8,"USA","CA","CALIFORNIA:  OROVILLE",39.439,-121.528,150,NA,NA,NA,NA,10,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,10,1,3,2,NA,NA,NA,NA,-0.00683329999999671,-0.0178332999999924
